english_word,native_translation,definition_vi
the,(không có từ tương đương trực tiếp; thường dùng `ấy`, `đó`, `này` sau danh từ),Từ hạn định xác định. Dùng trước danh từ để chỉ người hoặc vật cụ thể, đã biết.
of,của,"Từ giới thiệu, thường dùng để chỉ sự sở hữu, nguồn gốc, chất liệu, hoặc mối quan hệ giữa hai thứ."
to,đến; tới; đến; hướng tới,"Chỉ sự di chuyển về một địa điểm hoặc hướng; cũng dùng để chỉ mục đích hoặc người nhận hành động."
and,và,"Từ nối, dùng để thêm thông tin, nối các mục trong danh sách hoặc nối hai mệnh đề."
a,một,"Mạo từ không xác định. Dùng trước danh từ số ít đếm được khi nói về một người hoặc vật bất kỳ, chưa xác định cụ thể, hoặc lần đầu tiên được nhắc đến."
in,trong; ở trong; vào,"Chỉ vị trí (thời gian hoặc địa điểm), trạng thái hoặc sự di chuyển vào bên trong."
is,là,"Động từ 'to be' ở ngôi thứ 3 số ít (he, she, it)."
it,nó,"Từ dùng để chỉ sự vật, động vật, sự việc, hoặc một ý tưởng đã được nhắc đến trước đó hoặc đã biết."
you,bạn; anh; chị; em; ông; bà; quý vị,"Đại từ ngôi thứ hai, số ít hoặc số nhiều. Dùng để chỉ người hoặc những người được nói chuyện trực tiếp."
that,rằng; cái đó; người đó,"Được dùng để giới thiệu một mệnh đề phụ; cũng dùng như từ hạn định, đại từ hoặc trạng từ để chỉ một vật, người hoặc ý tưởng cụ thể, thường ở xa người nói."
he,anh ấy; ông ấy; thằng ấy,"Đại từ nhân xưng ngôi thứ ba số ít, chỉ người đàn ông hoặc bé trai."
was,đã là; đã bị; đã,"Là quá khứ đơn của động từ ""to be"" (là; thì; ở). Dùng để nói về trạng thái, tính chất, hoặc vị trí của một người, vật hoặc sự việc trong quá khứ (đối với chủ ngữ số ít hoặc ""I"", ""he"", ""she"", ""it"")."
for,cho; vì; đối với,"Chỉ mục đích, lý do, người nhận, hoặc thời gian/khoảng cách."
on,trên; ở trên; vào,"Chỉ vị trí hoặc sự tiếp xúc với bề mặt; cũng dùng để chỉ trạng thái hoạt động hoặc chủ đề của cái gì đó."
are,là; thì; ở,"Là một hình thức của động từ 'to be', dùng với các chủ ngữ số nhiều ('we', 'you', 'they') và danh từ số nhiều. Thường chỉ trạng thái tồn tại, bản chất hoặc vị trí."
with,với; cùng với; bằng,"Chỉ sự đi kèm, sự sử dụng một công cụ hoặc phương tiện, hoặc mối quan hệ liên kết."
as,như; là; khi; vì,"Được dùng để so sánh, chỉ vai trò hoặc chức năng, chỉ thời gian xảy ra cùng lúc, hoặc để giải thích lý do."
I,tôi; mình; tớ,"Đại từ nhân xưng ngôi thứ nhất số ít, dùng để chỉ người nói hoặc người viết."
his,của anh ấy; của ông ấy; của nó,"Chỉ sự sở hữu, thuộc về người đàn ông, người con trai hoặc vật/động vật đực đã được đề cập trước đó."
they,họ; chúng nó,"Đại từ nhân xưng ngôi thứ ba số nhiều, chỉ một nhóm người, con vật hoặc sự vật đã nhắc đến."
be,là; thì; ở,"Động từ chỉ sự tồn tại, trạng thái, vị trí hoặc dùng làm trợ động từ."
at,ở; tại,"Chỉ vị trí hoặc điểm cụ thể trong không gian hoặc thời gian, hoặc chỉ trạng thái."
one,một,"Số đếm nhỏ nhất khác không; đại từ chỉ một người hoặc một vật cụ thể; cũng dùng để chỉ cái gì đó nói chung hoặc một người không xác định."
have,có; sở hữu; ăn; uống,"Chỉ sự sở hữu, quyền có thứ gì đó; dùng để chỉ việc ăn hoặc uống; cũng dùng làm trợ động từ."
this,này; đó; cái này; người này; điều này,"Dùng để chỉ người, vật, ý tưởng ở gần người nói về khoảng cách, thời gian hoặc tâm trí."
from,từ; bởi; do,"Chỉ điểm xuất phát (thời gian, địa điểm, nguồn gốc), nguyên nhân hoặc nguồn cung cấp."
or,hoặc; hay là,"Dùng để giới thiệu một lựa chọn hoặc khả năng thay thế."
had,đã có; đã bị; đã ăn/uống,"Quá khứ phân từ và quá khứ đơn của động từ 'have', dùng để chỉ hành động sở hữu, kinh nghiệm, hoặc việc ăn/uống đã xảy ra trong quá khứ."
by,bởi; bằng; kế bên,"Chỉ người hoặc vật thực hiện hành động, phương tiện được sử dụng hoặc vị trí gần ai/cái gì đó."
not,không,Dùng để phủ định hoặc biểu thị sự thiếu vắng thứ gì đó.
word,từ,"Một đơn vị ngôn ngữ có nghĩa."
but,nhưng; mà,"Từ nối dùng để giới thiệu một ý kiến ​​hoặc sự thật đối lập, khác biệt so với điều đã nói trước đó."
what,cái gì; gì,"Từ nghi vấn, dùng để hỏi về sự vật, thông tin, hoặc hành động."
some,một vài; một số; khoảng,"Chỉ một lượng hoặc số lượng không xác định, thường nhỏ hoặc vừa."
we,chúng tôi; chúng ta,"Từ được dùng bởi người nói hoặc viết để chỉ bản thân và một hoặc nhiều người khác."
can,có thể; có thể làm được; lon,"Được dùng để chỉ khả năng, sự cho phép hoặc yêu cầu lịch sự. Cũng là một vật chứa hình trụ, thường bằng kim loại, để đựng đồ uống hoặc thực phẩm."
out,bên ngoài; ở ngoài; ra ngoài,"Chỉ vị trí ở bên ngoài hoặc di chuyển từ bên trong ra bên ngoài."
other,khác; cái khác; người khác,"Chỉ một người hoặc vật bổ sung hoặc khác biệt; không phải cái đã được đề cập đến."
were,đã là; thì là; là,"Dạng quá khứ số nhiều của động từ 'to be'."
all,tất cả; toàn bộ; mọi,"Chỉ toàn bộ số lượng, mức độ hoặc phạm vi; mọi người hoặc mọi vật."
there,ở đó; ở đấy,"Chỉ vị trí hoặc địa điểm không phải là nơi người nói đang ở; cũng dùng để bắt đầu một câu (ví dụ: There is/are...)."
when,khi; lúc; bao giờ,"Dùng trong câu hỏi về thời gian hoặc để giới thiệu mệnh đề chỉ thời gian."
up,lên; ở trên; trên; tăng,"Chỉ vị trí cao hơn hoặc di chuyển đến vị trí cao hơn; cũng có nghĩa là sự tăng lên hoặc hoàn toàn."
use,dùng; sử dụng; việc dùng; sự sử dụng,"Áp dụng hoặc tận dụng (một vật gì đó) cho một mục đích cụ thể; cũng là hành động sử dụng."
your,của bạn; của mày; của quý vị,"Chỉ sự sở hữu hoặc liên quan đến người hoặc vật đang được nói chuyện với."
how,thế nào; cách nào; làm sao,"Chỉ cách thức, tình hình, hoặc mức độ của một hành động hay trạng thái."
