english_word,native_translation,definition_zh
the,这；那个,"用于名词前，表示特定的、双方已知的人或事物。"
of,的,"表示所属关系、来源、性质或组成部分。"
to,到；去,"表示动作的方向或目的地（例如 '去学校'）；表示动作的对象或接收者。"
and,和；与；以及,"用于连接两个或多个词、短语或句子，表示并列关系或附加信息。"
a,一个；任一,"用于名词前，表示单数且非特指的人或事物；表示“任一个”的意思。"
in,在；进入,"表示位置、时间或状态（例如 '在盒子里'）；表示进入某个地方（例如 '进来'）。"
is,是,表示状态、身份、存在或联系，通常用在句子中连接主语和表语。
it,它,"指代前面提到过的无生命物体、动物、情况或抽象概念。"
you,你,用于指代你正在说话的对象（一个人或一群人）。
that,那个；那；那样,"既可用作指示代词，指代较远的人或事物或前面提到过的内容；也可用作连词，引导从句；还可用作副词，表示程度或方式。"
he,他,"指代男性人类或男性动物。"
was,是；曾经是,"be动词的过去式，用于单数人称（I, he, she, it）或不可数名词，表示在过去某个时间点的状态或存在。"
for,为；为了；给,"表示目的、原因、受益人或持续的时间长度。"
on,在；关于,"表示物体接触到表面（例如 '在桌子上'）；表示某个日期或时间（例如 '在周一'）；表示话题或内容（例如 '关于...'）。"
are,是,表示复数的“是”，用于第二人称you和复数名词或代词后。
with,和；同；跟,"表示与…一起；表示使用某种工具或方法；表示某种方式或状态。"
as,作为；像；如同,"表示身份、功能、原因或方式（例如 '作为一名教师'）；表示相似性或比较（例如 '像你一样高'）。"
I,我,"第一人称代词，用于指说话者自己。"
his,他的,"表示属于某个男性或男孩的东西。"
they,他们；她们；它们,"用于指代多个人、动物或事物。"
be,是；存在,"表示主语的身份、性质或状态；表示存在或发生。"
at,在,表示位置、时间、状态或活动（例如“在家”、“在三点”、“在工作”）。
one,一；一个,"表示数字 1；表示单个的、不特定的事物。"
have,有；具有；得到,"表示拥有、持有、获得某物；也可以表示经历或享受（例如 ‘玩得开心’）。"
this,这；这个,"用于指代说话者附近或刚刚提到的特定的人、事物或概念。"
from,从；来自,"表示起点、来源或原因；表示离开某个地方。"
or,或者；否则,"连接两个或多个选择；表示如果不做某事，就会发生另一种结果（例如 '快走，否则会迟到'）。"
