english_word,native_translation,definition_ja
the,その; あの,"定冠詞。特定の、または既に話題に出た人や物を指す名詞の前に置かれる。"
of,〜の; 〜に関する,"所有、関連、または構成要素を示す前置詞。"
to,に; へ; まで,"方向や到達点、目的を示す前置詞、または不定詞を作るのに使われる語。"
and,と; そして; 並びに,"二つ以上の単語、句、または文をつなぐために使う言葉。"
a,一つの; ある,"不定冠詞。特定の人物や物ではなく、一般的な一つを指す名詞の前に置かれる。"
in,〜の中に; 〜で,"場所（時間や空間）、状態、または内部への動きを示す。"
is,〜です; 〜にある,"be動詞の現在形。主語が三人称単数で現在である場合に使い、状態や存在を示す。"
it,それ,"特定の物、事態、または既に述べられたことを指す代名詞。人を含まない場合に使われることが多い。また、主語として形式的に使われることもある。"
you,あなた; きみ,"話しかけている相手の人や人を指す代名詞。"
that,あれ; それ; 〜という,"特定の物や人、または前に述べた事柄を指す代名詞または形容詞。接続詞として、従属節を導くこともある。"
he,彼,"男性の一人称または三人称単数代名詞。彼自身を指す。"
was,だった; でした,"過去のある時点での状態や存在を示すbe動詞 (is, am, are) の過去形。"
for,〜のために; 〜にとって; 〜の間,"目的、利益、期間、原因、または交換を表す前置詞。"
on,上の; 〜に,"場所や表面の上にあること、または特定の行動が続けられている状態を示す。"
are,です; でございます; いる; ある,"be動詞の現在形（複数または二人称単数）。状態、存在、属性などを表す。"
with,〜と; 〜と一緒に,"何かや誰かと共にいること、道具や方法などを示すのに使われる。"
as,〜として; 〜なので; 〜のように,"ある状況と同じであること、または何かの役割や理由を示す言葉。"
I,私,"一人称単数代名詞。話している自分自身を指す。"
his,彼の; 彼のもの,"男性の所有を示す形容詞または代名詞。"
they,彼ら; 彼女ら; それら,"3人称複数代名詞。複数の人や物を指して使う。"
be,である; いる; ある,"主語の状態、性質、同一性、場所、または存在を示す動詞。"
at,〜に; 〜で,"特定の場所や時間を示すのに使われる前置詞。"
one,1つ; 一つ; 1,"数で最初のもの。単一または唯一の個体や事物を指す。"
have,持つ; 持っている; ある,"所有や所持、またはある状態や特性を示す。"
this,これ,"話している人や場所に近い物や人を指したり、既に出た話題を指すのに使う代名詞。"
from,〜から,場所、時間、原因などを表し、出発点や起源を示す。
or,または; あるいは,"選択肢を提示したり、別の可能性を示したりする際に使われる。"
had,持っていた; あった,"have (持つ、ある）の過去形および過去分詞形。所有、経験、状態などを過去に持っていたことを示す。"
by,〜によって; そばに,"行動者や手段、または近接を示す前置詞。"
not,〜ではない; 〜しない,否定を表す言葉。
word,単語; 言葉,"意味を持つ音や文字の塊。"
but,しかし; だが; しかしながら,"前の文や語句と対照的な内容や、例外を示すために使われる接続詞。"
what,何; どういった,"物、事柄、または状況について尋ねる疑問詞。"
some,いくつか; いくらか; ある程度の,"不定量または未知の数や量を指す。特定の（しかし不明な）人や物事を指すこともある。"
we,私たちは; 我々は,"話している人（複数）と、その人たちが含める他の人々を指す代名詞。"
can,〜できる; 〜することができる,"能力、許容、可能性を示す助動詞。"
out,外に; 外で,"中にない状態や場所、またはそこから離れる動きを示す前置詞、副詞、あるいは形容詞として使われる。"
other,他の; 別の,「もう一つの、残りの、または以前に言及されたものとは異なる」ことを示すのに使われる単語。
were,だった; あった,"「be」動詞の過去形複数、または仮定法現在。過去の出来事や状態、または非現実的な状況を表す。"
all,全て; 全部,"完全に、または残すことなく、全ての人、物、量、程度などを指す。"
there,そこに; あそこに,"場所や存在を示すために使われる言葉。遠く離れた場所を指すことも。"
when,いつ; 時,"時間に関する疑問詞。または、特定の時間が起こる状況や時点を指す接続詞。"
up,上に; 上へ,"より高い場所や位置へ移動すること、または既に高い場所にいる状態を示す。"
use,使う; 使用する,"何かを目的のために活用すること。"
your,あなたの,"話しかけている相手や、指示・所有されているものが話し相手に関係することを表す代名詞の所有格。"
how,どう; どのように,"物事がどのように行われるか、またはどの程度かについて尋ねたり述べたりするために使用される語。"
said,言った; 発言した,"say（言う）の過去形および過去分詞。何かを口頭で述べたり、文章で書いたりしたことを示す。"
an,不定冠詞,"後続の名詞が母音から始まる場合に使われ、数えられる単数名詞の前につけて「一つ」または「ある特定の」という意味を表す。"
each,それぞれの; 各自の,"複数の物事について、一つ一つ全てを指す。"
she,彼女,"話者が女性であることを示す三人称単数代名詞。"
which,どれ; どちら,"選択肢の中から何かを尋ねる際に使われる疑問詞。"
do,する,"行動や活動、または何かを遂行することを意味する基本的な動詞。"
their,彼らの; それらの,三人称複数所有格。前に出てきた複数の人や動物、物の所有物を示す。
time,時間; 時; 時刻,"過去、現在、未来にわたる出来事の連続。期間の長さ、または特定の時点。"
if,もし; もし〜ならば,"条件を示す接続詞・副詞。ある状況が真実であるか、または起こる場合に何か別のことが起こることを示す。"
will,〜だろう; 意思; 遺言,"未来の出来事や意図を表す助動詞。また、個人的な決意や、死後の財産に関する指示を記した文書（遺言）を意味する。"
way,道; 方法,"ある場所へ行くための道筋。何かをするための手段ややり方。"
about,約; ついて,"大よそや概算を示す。また、何かや誰かに関する主題を表す。"
many,多くの; たくさんの,"数が大きいこと。たくさんのものや人々を示すのに使われる。"
then,それから; その後,"ある時点の後に起こること、または文中で述べられた結果や結論を導くために使われる。"
them,彼ら; 彼女ら; それら,"theyの目的格形。彼ら、彼女ら、またはそれらの代わりに使用される。"
write,書く,"文字やサインなどを表面にかいたり、本や手紙などを作成したりする行為。"
would,だろう; であろう; したい; するだろう,"過去の習慣、推量、または希望や丁寧な依頼を表す助動詞。"
like,好き; 〜のように; 好む,"何かを良い、楽しい、または魅力的だと思う感情。また、二つのものが似ていることを示す。"
so,だから; とても; そのように,"前の文脈の結果や理由を示したり、程度が非常に高いことを表したりする。"
these,これら; これらの,"話し手や書き手に近い、複数の人や物を指し示す代名詞。"
her,彼女の; 彼女を; 彼女に,"英語の代名詞の一つで、「彼女」という三人称単数女性を指す所有格（例: her book）、または目的格（例: I saw her）として使われる。"
long,長い,"空間的、時間的に延びていること、または時間をかけている状態を示す。"
make,作る; 製造する; 〜にする,"物を作り出す、または形づくる。何かを生じさせたり、ある状態に変化させたりすることも意味する。"
thing,こと; もの,"一般的に、具体的な物体や抽象的な事柄を指す語。"
see,見る; 見える; 会う; 理解する,"目を使って何かを知覚する行為。人や物に会うことや、状況を理解することも意味する。"
him,彼を; 彼に,"男性を指す代名詞 he の目的格で、「彼を」「彼に」という意味。"
two,2; 二; 二つ,数字の2。または二つの人や物。
has,持っている; ある,"haveの三人称単数現在形。所有、存在、経験などを表す。"
look,見る; 見る,"目を使って何かを認識したり、注意を向けたりする行為。"
more,もっと; より多くの,"数量や程度が以前より大きいこと、または追加されることを示す。"
day,日; 昼,"朝から晩まで、または太陽が出ている時間帯。特定の出来事が起こる特定の時期。"
could,できた; かもしれない; 〜していただけますか,"canの過去形。過去の能力を示したり、現在の可能性や丁寧な依頼を表す。"
go,行く; 進む,"人や物が、ある場所から別の場所へ移動する。"
come,来る; 起こる,"話し手や特定の場所に向かって移動する。または、イベントや事態が発生する。"
did,した; 来た; 行った,「do」の過去形。行った行為や出来事を過去に終了したことを示す。
number,数; 番号,"数量を表す語や記号。順序や識別にも使われる。"
sound,音; 音声; 健全な,"耳で知覚できる振動。音声、音楽、騒音を含む。または、状態が良好で健康な様子。"
no,いいえ; 無し,"否定や同意しないことを表す言葉、または何も存在しない状態。"
most,最も; 大部分; ほとんど,"量や程度が最大であること。または、大部分を占めること。"
people,人々; 人々,"人間全般を指す複数形の名詞。特定の集団や民族を指す場合もある。"
my,私の,"「私」や「私の」に属する物や事を指す所有限定詞。"
over,〜の上に; 越えて; 終わって,"何かの真上や反対側にあることを示したり、ある時点や状況が終了したことを示したりする。また、何かを通過したり越えたりすること。"
know,知る; 分かる,"情報や知識を持っていること。経験や学習によって理解すること。"
water,水,"液体で、多くの生命体にとって必須のもの。飲む、洗う、植物に与えるなどに使う。"
than,〜より,"比較級の後に置かれ、比較対象を示す。"
call,呼ぶ; 電話する; 鳴る,"声を出して合図を送る、または電話をかけること。また、電話やブザーなどが鳴ること。"
first,最初の; 一番目; 初めて,"順序で一番前であること。または、初めて起こったこと。"
who,誰; どちら,"人について尋ねたり、特定の人を指したりするときに使う疑問詞（誰、だれ）や関係代名詞（〜する人）。"
may,〜かもしれない; 〜してもよい,"不確実性（可能性）や許可を示す助動詞。"
down,下に; 降ろす; 落ちる,"より低い場所、位置、またはレベルへ移動すること、またはそこにあること。または、何かを低くしたり、落ちたりする様子。"
side,側; 横; 面,"ある物や場所の端、または中心から離れた場所を指す。複数の中から選ばれた一方や視点も意味する。"
been,であった; 行ってきた,"be動詞（am, is, are）やgoの過去分詞。状態の継続や、ある場所に行った経験を示す。"
now,今; 現在,「この時」または「すぐに」という意味で使われる言葉。
find,見つける; 見いだす,"失くした物や探している物を見つけ出すこと。また、新しい情報や理解を得ること。"
any,どの; いくつかの; 全ての,"不特定なものや数、または否定や疑問と共にどれか一つを示す。"
new,新しい,"以前にはなかったもの、または最近作られた、発見された、あるいは手に入れたものを指す。未経験のことも意味する。"
work,仕事; 働く; 機能する,「仕事」は職業や任務、または行われた活動を指します。「働く」は労働する行為を意味し、「機能する」は機械などが正常に動くことを指します。
part,部分; 一部; 役,"全体を構成する要素や断片。演劇などで与えられた役柄。"
take,取る; 持っていく; 連れていく,"何かを手で持ったり掴んだりする。人や物をある場所から別の場所に移動させる。時間や労力を要する。"
get,得る; 手に入れる; なる,"何かを受け取る、獲得する、または特定の状態になることを意味する。"
place,場所; 位置; 配置する,"ある特定の場所や地点。何かを置く、配置することも意味する。"
made,作った; 作られた,"作るという行為の過去形または過去分詞形。何かを組み立てたり、創造したりすること。"
live,住む; 生きる,"ある場所に dwelling すること、または存在し続けること。"
where,どこ,"場所を問うときに使う疑問詞。または場所を示す関係副詞。"
after,後に; 〜の後に,"時系列で、ある時点や出来事の後の状態や行動を示す。"
back,戻る; 後ろ; 背中,"元の場所や状態に戻ること。物の後ろの部分や、人間の体でいうと腹部と反対側の部分を指す。"
little,小さい; 少し,"サイズや量が少なく、または重要性が低いこと。また、若さを示す。"
only,唯一; だけ,"それ以外にはないことを示す。特定の物や人、状況に限定される。"
round,丸い; 円い; まる...,"円形または球形の形状をした。また、一連の出来事の一部や段階。"
man,男; 男性; 人間,"成人した男性。広義には人類全体を指す。"
year,年; 歳,"特定の期間を表す単位で、多くの場合365日（閏年は366日）を指す。年齢を表す際にも使用される。"
came,来た,"来る（come）の過去形です。誰かや何かが何かに向かって移動したことを示します。"
show,見せる; 示す; 見せ物; 番組,"何かを他の人に見えるように提示すること。また、公演や展示などの見せ物や娯楽番組。"
every,すべての; あらゆる,"集まりの個々の要素全てを指す。個々のものや人が漏れなく含まれることを示す。"
good,良い; 上手な; 親切な,"質や標準が高いこと。道徳的に正当なこと。何かに優れていることや、人に対して親切で友好的なこと。"
me,私を; 私に,"英語の代名詞。I（私）の目的格で、動詞や前置詞の後に来て「私を」「私に」という意味を表す。"
give,与える; 提供する,"何かを人にあげることや、物事を譲り渡すこと。"
our,私たちの; 我々の,"話し手と他の人（複数）に属するものを指す所有形容詞。"
under,〜の下に; 〜より少なく,"何かや誰かの下に位置している状態。また、基準となる量や数よりも少ないことを示す。"
name,名前,"人や物に付けられた識別するための語。"
very,とても; 非常に,"程度が著しい、大幅な、という意味を表すのに使われる副詞。"
through,〜を通って,"何かの中を通り抜けること、またはある点から別の点へ移動することを示す。完了、完了、または継続の状態を示すこともある。"
just,ただ; ちょうどの; 公正な,"時間的に少し前や直後であること、正確であること、あるいは公平で偏りがないことを示す。"
form,形; 形態; 様式; 用紙,"ものの外観や構造。または、公式の申請書や書類。"
sentence,文,"意味が完結している単語のまとまり。"
